org,downloads_vision,downloads_language,downloads_speech,downloads_3d,downloads_multimodal,downloads_protein,downloads_vector,descendants,num_vision,num_language,num_speech,num_3d,num_multimodal,num_protein,num_vector,likes,issue,num_adapted_chips,score,rank,delta rank
Meta,0.8635064137775049,0.5044231105804673,0.34901389166974794,1.0,0.060214078392149595,1.0,0.026225283898433635,0.28177201248240835,1.0,0.32142857142857145,1.0,0.5555555555555556,0.14720812182741116,1.0,0.07766990291262135,0.9035083883568732,0.8608541625664239,0.5,0.5806321940804537,1,0
Google,1.0,0.07540350239991474,0.00031922324667703464,0.0,0.1808980187748067,0.0,1.0056175027841636e-05,0.4635215892634971,0.2894736842105263,0.3392857142857143,0.027777777777777776,0.0,0.4263959390862944,0.0,0.019417475728155338,0.42928564140685355,0.41802794725447745,0.5,0.23165647608942905,3,0
Deepseek,0.0,0.15549958241167466,0.0,0.0,0.008558350814997482,0.0,0.0,0.048991413245222215,0.0,0.13010204081632654,0.0,0.0,0.05583756345177665,0.0,0.0,0.6831081376535922,0.3241487896083448,0.25,0.09201365988899637,11,0
OpenBMB,0.00013594946524928109,0.0124803459652547,5.3727815913413164e-06,0.0,0.006433521771133132,0.0,1.1880255326216148e-05,0.001662281506863285,0.005263157894736842,0.11479591836734694,0.005555555555555556,0.0,0.1116751269035533,0.0,0.019417475728155338,0.11644584371857099,0.10450698681361936,0.25,0.04157718981816424,17,2
01-AI,0.0,0.005398524559283037,0.0,0.0,5.3740231543569325e-06,0.0,0.0,0.011024087784780435,0.0,0.06377551020408163,0.0,0.0,0.01015228426395939,0.0,0.0,0.06365239698573032,0.05294233418618382,0.25,0.025386139555954056,22,0
Ai2,0.0003242431096319752,0.010354312532114536,0.0,0.0,0.005418070240433199,0.0,0.0027240232012706884,0.00946378673846091,0.005263157894736842,0.40561224489795916,0.0,0.0,0.03553299492385787,0.0,0.06796116504854369,0.06978879706152434,0.08600669159614249,0.25,0.052691638180259764,14,1
OpenAI,0.00016923002358719183,0.0,0.0,0.01871972260470613,1.0,0.0,0.0,0.08268575740888046,0.02631578947368421,0.0,0.0,0.2222222222222222,0.08121827411167512,0.0,0.0,0.20550381156441763,0.16886439677228893,0.25,0.11420551134341454,10,0
Nvidia,0.12827264208859737,0.02745238051905899,0.29301584690498916,0.0018758745254567044,0.010584755619979257,0.0,0.0002255349841038522,0.017469252891146057,0.3368421052631579,0.25,0.5111111111111111,0.3333333333333333,0.13705583756345177,0.0,0.08737864077669903,0.22153716093110032,0.19405628813225742,0.25,0.15556726470246898,6,0
Microsoft,0.7742102329639083,0.181216181130028,0.2511551909100766,0.03590362520417208,0.1326612845360354,0.0,0.0,0.10210283709641232,0.3368421052631579,0.18877551020408162,0.1111111111111111,0.2222222222222222,0.3604060913705584,0.0,0.0,0.5146705146705147,0.42924621137571345,0.25,0.21614017322544402,4,0
Apple,0.09943439206436396,0.023927696009091608,0.0,0.0,0.011413489701749477,0.0,0.0,0.0021313916253645803,0.23684210526315788,0.03571428571428571,0.0,0.0,0.07614213197969544,0.0,0.0,0.05062165668226274,0.05825624876992718,0.25,0.046915744322772145,16,0
HuggingFace,0.00015905198875569487,0.03811945175257007,0.0,0.0,0.010403710751045809,0.0,0.0,0.03729425442085296,0.005263157894736842,0.11734693877551021,0.0,0.0,0.06091370558375635,0.0,0.0,0.11994402903493813,0.0787246604999016,0.25,0.039898275594559315,18,0
Princeton NLP,0.0,0.0038334030295864197,0.0,0.0,0.0,0.0,0.0,0.00784229741581513,0.0,0.15816326530612246,0.0,0.0,0.0,0.0,0.0,0.007798038101068404,0.027553631174965558,0.25,0.02528836861264211,23,0
UKP Lab,0.0,0.0,0.0,0.0,0.004470809092425217,0.0,1.0,0.018509453588692406,0.0,0.0,0.0,0.0,0.005076142131979695,0.0,1.0,0.12479776116139753,0.10804959653611494,0.25,0.13949465347281165,8,0
Tencent,0.003318443245339106,0.0007803723330521604,0.00010682690206613745,0.947592581236795,0.00402609872450745,0.0,8.00154182930083e-06,0.002090599441147076,0.1631578947368421,0.04846938775510204,0.005555555555555556,1.0,0.10152284263959391,0.0,0.08737864077669903,0.12616788374364132,0.06337335170242078,0.25,0.1557526933519217,5,0
ByteDance,0.0028797376328798994,0.01054973762105605,0.0,0.011489383051905699,0.008368369144596233,0.0,0.0,0.0018152521976789247,0.04736842105263158,0.04591836734693878,0.0,0.4444444444444444,0.12690355329949238,0.0,0.0,0.12976809946506918,0.07478842747490651,0.5,0.07801632181842219,12,1
