org,data,model,infra,eval,score,rank,delta rank
BAAI,0.3562071871080222,0.3010299956639812,1.0,0.5,0.45988286234999426,4,0
ShanghaiAILab,0.5,0.3333333333333333,0.31546487678572877,1.0,0.4692441461309548,3,0
Baidu,0.23981246656813146,0.25,0.3562071871080222,0.23981246656813146,0.2643053533740475,14,7
Baichuan,0.21533827903669653,0.21533827903669653,0.24465054211822604,0.23981246656813146,0.22430268747219057,25,0
Zhipu,0.25,0.26264953503719357,0.24465054211822604,0.43067655807339306,0.2855459508838666,13,0
Ali,0.3010299956639812,0.6309297535714575,0.2890648263178879,0.23981246656813146,0.45378275821072883,5,0
Huawei,0.22106472945750374,0.22424382421757544,0.3333333333333333,0.23981246656813146,0.24449033366861583,22,0
LMSYS,0.23540891336663824,0.21274605355336318,0.26264953503719357,0.38685280723454163,0.2538582360497438,18,1
Falcon,0.227670248696953,0.23137821315975915,0.24465054211822604,0.3562071871080222,0.2537771029004131,19,-2
EleutherAI,0.3333333333333333,0.227670248696953,0.25,0.24465054211822604,0.25183243692373636,20,-6
Meta,0.31546487678572877,1.0,0.6309297535714575,0.3010299956639812,0.7079041043368614,1,0
Google,0.6309297535714575,0.5,0.5,0.31546487678572877,0.4910657717261977,2,0
Deepseek,0.21810429198553155,0.27894294565112987,0.27023815442731974,0.23981246656813146,0.26083062498906207,16,-1
OpenBMB,0.26264953503719357,0.23981246656813146,0.26264953503719357,0.3333333333333333,0.2630116338520191,15,1
01-AI,0.21274605355336318,0.22106472945750374,0.26264953503719357,0.23981246656813146,0.22973370725519987,24,0
Ai2,1.0,0.2559580248098155,0.26264953503719357,0.2890648263178879,0.38659807263075463,6,0
OpenAI,0.23137821315975915,0.2890648263178879,0.43067655807339306,0.2559580248098155,0.29753454583277184,11,0
Nvidia,0.38685280723454163,0.3562071871080222,0.3010299956639812,0.26264953503719357,0.3365256498766305,9,-1
Microsoft,0.27894294565112987,0.43067655807339306,0.38685280723454163,0.27023815442731974,0.3713439302555284,7,0
Apple,0.2559580248098155,0.24465054211822604,0.27894294565112987,0.23981246656813146,0.25144417723062584,21,-1
HuggingFace,0.43067655807339306,0.23540891336663824,0.2559580248098155,0.6309297535714575,0.3372985127590968,8,1
Princeton NLP,0.27023815442731974,0.21810429198553155,0.26264953503719357,0.25,0.23953342757018461,23,0
UKP Lab,0.2890648263178879,0.31546487678572877,0.26264953503719357,0.27894294565112987,0.2961753228938996,12,0
Tencent,0.22424382421757544,0.38685280723454163,0.26264953503719357,0.23981246656813146,0.31454404125442087,10,0
ByteDance,0.24465054211822604,0.27023815442731974,0.26264953503719357,0.23981246656813146,0.2596378345009184,17,1
