org,num_operators,num_adapted_chips_operator_lib,num_adapted_frameworks_operator_lib,support_heterogeneous_training_frameworks,num_adapted_chips_frameworks,support_lifecycle,num_adapted_frameworks_ai_compiler,num_adapted_chips_ai_compiler,deep_learning_framework,num_adapted_chips_communication_lib,support_cross_chip_communication,support_heterogeneous_training_communication_lib,score,rank,delta rank
BAAI,0.8815165876777251,0.3333333333333333,1.0,1.0,0.26666666666666666,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.790126382306477,1,0
ShanghaiAILab,0.0,0.23333333333333334,1.0,0.0,0.06666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19166666666666665,9,-1
Baidu,0.7393364928909952,0.13333333333333333,0.5,0.0,0.13333333333333333,1.0,0.0,0.0,1.0,0.125,0.0,0.0,0.30258359662980516,6,0
Baichuan,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002777777777777778,16,0
Zhipu,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002777777777777778,16,0
Ali,0.0,0.16666666666666666,1.0,0.0,0.03333333333333333,1.0,0.0,0.0,1.0,0.125,0.0,0.0,0.27708333333333335,7,3
Huawei,0.0,0.13333333333333333,0.5,0.0,0.03333333333333333,1.0,0.0,0.0,1.0,0.125,0.0,0.0,0.23263888888888887,8,-1
LMSYS,0.0,0.0,0.0,0.0,0.03333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08611111111111112,14,-1
Falcon,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002777777777777778,16,0
EleutherAI,0.0,0.0,0.0,0.0,0.03333333333333333,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.044444444444444446,15,0
Meta,1.0,1.0,0.5,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4583333333333333,2,0
Google,0.6540284360189573,0.7666666666666667,0.5,0.0,0.7666666666666667,1.0,0.0,0.0,1.0,0.125,0.0,0.0,0.4010301474460243,3,0
Deepseek,0.009478672985781991,0.03333333333333333,0.5,0.0,0.06666666666666667,1.0,0.0,0.0,0.0,0.125,0.0,0.0,0.14453988941548182,12,0
OpenBMB,0.0,0.0,0.0,0.0,0.03333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08611111111111112,14,-1
01-AI,0.0,0.0,0.0,0.0,0.03333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08611111111111112,14,-1
Ai2,0.0,0.0,0.0,0.0,0.03333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08611111111111112,14,-1
OpenAI,0.0995260663507109,0.03333333333333333,1.0,0.0,0.06666666666666667,1.0,1.0,0.2,1.0,0.0,0.0,0.0,0.36662717219589264,4,0
Nvidia,0.014218009478672985,0.03333333333333333,1.0,0.0,0.06666666666666667,1.0,0.0,0.0,0.0,0.125,0.0,0.0,0.18660150078988944,10,-1
Microsoft,0.009478672985781991,0.03333333333333333,0.5,1.0,0.06666666666666667,1.0,0.0,0.0,1.0,0.125,0.0,0.0,0.3112065560821485,5,0
Apple,0.0,0.0,0.0,0.0,0.03333333333333333,0.75,0.0,0.0,1.0,0.0,0.0,0.0,0.1486111111111111,11,0
HuggingFace,0.0,0.0,0.0,0.0,0.06666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08888888888888889,13,1
Princeton NLP,0.0,0.0,0.0,0.0,0.03333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08611111111111112,14,-1
UKP Lab,0.0,0.0,0.0,0.0,0.03333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08611111111111112,14,-1
Tencent,0.0,0.0,0.0,0.0,0.03333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08611111111111112,14,-1
ByteDance,0.0,0.0,0.0,0.0,0.03333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08611111111111112,14,-1
