org,num_language,num_speech,num_vision,num_multimodal,num_embodied,downloads_language,downloads_speech,downloads_vision,downloads_multimodal,downloads_embodied,dataset_usage,num_pretraining,num_finetuning,num_preference,downloads_pretraining,downloads_finetuning,downloads_preference,operators,score,rank,delta rank
BAAI,0.6594594594594595,0.13636363636363635,0.3504273504273504,0.5333333333333333,0.0625,0.04834000091966708,0.024483618233618235,0.000265141986933259,0.08941085948385219,0.03561791161517403,0.06522497384025114,1.0,0.2847682119205298,0.044444444444444446,0.012800280893618642,0.14929217657690128,0.014814814814814815,0.22857142857142856,0.2077843134936118,6,1.0
ShanghaiAILab,0.2972972972972973,0.09090909090909091,1.0,1.0,0.125,0.007341242470225778,0.00037838319088319086,0.01956247687291735,0.18948988292053986,0.0006003128666405944,0.1067317753749564,0.8859060402684564,0.5629139072847682,0.13333333333333333,0.013704536315762636,0.21349184055290257,0.9534463276836158,0.0,0.3111170248522995,4,-3.0
Baidu,0.08108108108108109,0.0,0.0,0.0,0.0625,0.0002816480434082862,0.0,0.0,0.0,3.9108330074305825e-05,0.00017439832577607255,0.0738255033557047,0.026490066225165563,0.022222222222222223,0.0,0.0012985154523338827,0.0005021971123666039,0.0,0.014911930008229594,20,-4.0
Baichuan,0.0,0.0,0.008547008547008548,0.0,0.0,0.0,0.0,9.712160693525971e-06,0.0,0.0,0.0,0.0,0.006622516556291391,0.0,0.0,0.0002120025228300217,0.0,0.0,0.0008550688770457492,28,-4.0
Zhipu,0.04864864864864865,0.0,0.02564102564102564,0.044444444444444446,0.0,0.011757943624407964,0.0,0.00023479148476599035,0.004322027436382668,0.0,0.023543773979769794,0.0,0.052980132450331126,0.13333333333333333,0.0,0.05168621506595929,0.06754551161330823,0.0,0.025785435984576506,17,-4.0
Ali,0.31351351351351353,0.13636363636363635,0.3076923076923077,0.26666666666666666,0.0625,0.0046316733342530005,0.01604789886039886,0.0006371177414953037,0.006179771386584039,0.014233476730543607,0.0006975933031042902,0.1342281879194631,0.6158940397350994,0.0,0.0007338603961297094,0.06903332149652582,0.0,1.0,0.16383628139665118,8,0.0
Huawei,0.021621621621621623,0.0,0.0,0.044444444444444446,0.0,0.0007357336644134824,0.0,0.0,0.0,0.0,0.0010463899546564353,0.013422818791946308,0.026490066225165563,0.0,0.00010004253421293311,0.0009275110373813449,0.0,0.0,0.006043812681880118,25,-3.0
LMSYS,0.016216216216216217,0.0,0.0,0.0,0.0,0.018569227939485906,0.0,0.0,0.0,0.0,0.07446808510638298,0.0,0.013245033112582781,0.022222222222222223,0.0,0.07824483111349025,0.03490269930947897,0.0,0.014326017501103294,21,-4.0
Falcon,0.005405405405405406,0.0,0.0,0.06666666666666667,0.0,0.012266059686393526,0.0,0.0,0.0022979183563125167,0.0,0.07411928845483083,0.006711409395973154,0.019867549668874173,0.0,0.0022955996560257985,0.0035139418159076093,0.0,0.0,0.010730213283688315,23,-4.0
EleutherAI,1.0,0.0,0.06837606837606838,0.0,0.0,0.13490826320871843,0.0,9.469356676187822e-06,0.0,0.0,0.14980816184164633,0.2684563758389262,1.0,0.0,0.016129007967473484,0.2230266540171828,0.0,0.0,0.15892855558926067,9,0.0
Meta,0.1837837837837838,0.13636363636363635,0.13675213675213677,0.4444444444444444,0.1875,0.16458936864854923,0.31074163105413105,0.0032348779229961627,0.12445498090266947,0.00020727414939382088,0.2047436344611092,0.18791946308724833,0.2980132450331126,0.1111111111111111,0.012241763863905148,0.7882730804496574,0.019836785938480855,0.0,0.18412284544257587,7,-1.0
Google,0.6972972972972973,1.0,0.38461538461538464,0.4444444444444444,0.4375,0.18372993976180624,1.0,0.00010659096361144753,0.05958644401466786,0.0,0.5671433554237879,0.8859060402684564,0.6821192052980133,0.13333333333333333,0.0048581945485209515,1.0,0.0,0.0,0.41559112388718467,2,0.0
Deepseek,0.005405405405405406,0.0,0.0,0.0,0.0,0.0005426035775049432,0.0,0.0,0.0,0.0,0.0036623648412975234,0.0,0.006622516556291391,0.0,0.0,0.0025016297693942558,0.0,0.0,0.0010408066749940843,27,-4.0
OpenBMB,0.05945945945945946,0.0,0.0,0.24444444444444444,0.0,0.037459189773302065,0.0,0.0,0.021627466882941336,0.0,0.06121381234740147,0.013422818791946308,0.046357615894039736,0.1111111111111111,0.002793660874741799,0.0934878125049688,0.1451098556183302,0.0,0.04647151376126037,16,-4.0
01-AI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,-5.0
Ai2,0.9513513513513514,0.022727272727272728,0.07692307692307693,0.3111111111111111,0.0625,0.6853474042396652,0.0035389957264957265,1.0,0.1566604972931007,0.000637465780211185,0.9441925357516567,0.42953020134228187,0.5695364238410596,1.0,1.0,0.5013170656730815,0.4019836785938481,0.0,0.45096428224190066,1,2.0
OpenAI,0.02702702702702703,0.0,0.0,0.0,0.0,0.01027498045707454,0.0,0.0,0.0,0.0,0.12626438786187652,0.0,0.006622516556291391,0.044444444444444446,0.0,0.0005883070008533102,0.08218455743879473,0.0,0.016522567821464555,19,-1.0
Nvidia,0.22702702702702704,0.13636363636363635,0.05128205128205128,0.13333333333333333,1.0,0.2194176208212627,0.5841791310541311,0.011999617340868676,0.03305467174080313,1.0,0.26403906522497383,0.15436241610738255,0.2781456953642384,0.17777777777777778,0.12817019192891257,0.8614563513305808,0.522661644695543,0.0,0.32129279063291794,3,1.0
Microsoft,0.1837837837837838,0.0,0.008547008547008548,0.044444444444444446,0.1875,0.04579712144203798,0.0,4.2247899016837975e-05,0.0012962616368942402,0.0012025811497849042,0.353331008022323,0.03355704697986577,0.17880794701986755,0.13333333333333333,0.0009262002361003807,0.18848614298510152,0.01283113622096673,0.0,0.07632701465002939,13,-2.0
Apple,0.005405405405405406,0.0,0.0,0.08888888888888889,0.0,0.0006828528072837632,0.0,0.0,0.668836345235372,0.0,0.0017439832577607255,0.026845637583892617,0.006622516556291391,0.0,0.04151743655313238,0.003148237464025822,0.0,0.0,0.04687173909733628,15,-1.0
HuggingFace,0.3891891891891892,0.0,0.0,0.044444444444444446,0.0,0.7784636961419966,0.0,0.0,0.00998537373233237,0.0,1.0,0.09395973154362416,0.2781456953642384,0.37777777777777777,0.11311475868342304,0.6044297927145333,1.0,0.0,0.26052835886619774,5,0.0
Princeton NLP,0.06486486486486487,0.0,0.0,0.022222222222222223,0.0,0.02146732882696464,0.0,0.0,0.0028455369087972493,0.0,0.026334147192186956,0.020134228187919462,0.052980132450331126,0.044444444444444446,5.4646889656096796e-05,0.09953518446869518,0.01157564344005022,0.0,0.02035879888311847,18,-3.0
UKP Lab,0.5567567567567567,0.0,0.0,0.0,0.0,0.047313422541040144,0.0,0.0,0.0,0.0,0.13010115102895012,0.1342281879194631,0.41721854304635764,0.022222222222222223,0.0031090637890561212,0.09592584151751406,0.0004519774011299435,0.0,0.07818484256791612,12,-2.0
Tencent,0.005405405405405406,0.0,0.0,0.08888888888888889,0.0,0.001528946521359268,0.0,0.0,0.010248785187957937,0.0,0.00017439832577607255,0.006711409395973154,0.019867549668874173,0.0,0.00010886348884246055,0.012990454586409579,0.0,0.0,0.008106927859415941,24,-3.0
ByteDance,0.016216216216216217,0.0,0.017094017094017096,0.06666666666666667,0.0,0.003300455235204856,0.0,0.0016073625947785482,0.017853057999043402,0.0,0.0008719916288803627,0.026845637583892617,0.019867549668874173,0.0,0.0017357917549031062,0.028302336797807894,0.0,0.0,0.01113117129112694,22,-2.0
MistralAI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005231949773282176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9066387629345423e-05,29,
StanfordNLP,0.07567567567567568,0.0,0.0,0.022222222222222223,0.0,0.060629052283073526,0.0,0.0,0.0006065395359799253,0.0,0.37513079874433203,0.0,0.08609271523178808,0.044444444444444446,0.0,0.2056901477127578,0.3541996233521657,0.0,0.06803840106680219,14,
Moonshot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,
MLFoundations,0.02702702702702703,0.0,0.008547008547008548,0.3333333333333333,0.0,0.08648894100335679,0.0,0.0013910242153302571,1.0,0.0,0.031217300313916986,0.14093959731543623,0.0,0.0,0.07949315224989205,0.0,0.0,0.0,0.09491318800029451,11,
Salesforce,0.0972972972972973,0.0,0.0,0.24444444444444444,0.0,1.0,0.0,0.0,0.022767761210583597,0.0,0.09644227415416812,0.09395973154362416,0.09933774834437085,0.0,0.18670131365528958,0.04588264600348744,0.0,0.0,0.10482406759184809,10,
Meituan,0.02702702702702703,0.022727272727272728,0.0,0.022222222222222223,0.0,0.0007104428196992689,0.0003116096866096866,0.0,0.0008526212905774949,0.0,0.0,0.0,0.013245033112582781,0.0,0.0,0.00016960201826401734,0.0,0.0,0.004848101716903069,26,
Xiaomi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,
