org,downloads_vision,downloads_language,downloads_speech,downloads_3d,downloads_multimodal,downloads_protein,downloads_vector,descendants,num_vision,num_language,num_speech,num_3d,num_multimodal,num_protein,num_vector,likes,issue,num_adapted_chips,score,rank,delta rank
BAAI,0.0002691646555352715,0.0013710441837121367,0.0,0.015511656553674895,0.0007060637285766358,0.0,0.08865249968127226,0.012355169340463459,0.03888888888888889,0.1971326164874552,0.0,1.0,0.323943661971831,0.0,0.2636363636363636,0.13483767299618155,0.1366522733045466,1.0,0.17855317085713898,5,0
ShanghaiAILab,0.010138983566069118,0.006312582270022228,0.0,0.0,0.011476301823468085,0.0005253045154459823,0.0,0.006350267379679145,0.2833333333333333,0.23297491039426524,0.0,0.0,1.0,0.375,0.0,0.11132228691881058,0.15163830327660655,0.25,0.13550401519320557,9,-1
Baidu,0.0,4.009935677093561e-06,0.0,0.0,0.0,0.0,0.0,3.342245989304813e-05,0.0,0.0035842293906810036,0.0,0.0,0.0,0.0,0.0,0.00013822416503965306,0.0,0.5,0.02798666033062727,21,-1
Baichuan,0.0,0.005071300784213685,0.0,0.0,4.64813604729693e-06,0.0,0.0,0.0005570409982174688,0.0,0.053763440860215055,0.0,0.0,0.014084507042253521,0.0,0.0,0.059384556905160944,0.06527813055626111,0.25,0.024896868071242726,23,-1
Zhipu,0.009977532794988015,0.049041424876390786,0.015137610125203224,0.0,0.004148110924714744,0.0,0.0,0.0021390374331550803,0.011111111111111112,0.16845878136200718,0.014563106796116505,0.0,0.14788732394366197,0.0,0.0,0.2629023619054201,0.28371856743713486,0.25,0.06772694270610574,11,0
Ali,0.13469354727561428,0.6445911746740954,1.0,0.0033076326474747934,0.09496315575695753,0.0,0.04673403338533454,1.0,0.6166666666666667,1.0,0.7912621359223301,1.0,0.5352112676056338,0.0,0.2,0.9879053855590304,0.9933959867919736,0.25,0.5165961659047285,2,0
Huawei,0.0,0.00021376495337447292,0.0,0.0,0.0,0.0,0.0,2.228163992869875e-05,0.0,0.017921146953405017,0.0,0.0,0.0,0.0,0.0,8.639010314978317e-05,0.002286004572009144,0.5,0.028918310456770395,20,-2
LMSYS,0.0,0.05010208234780319,0.0,0.0,0.0,0.0,0.0,0.008166221033868092,0.0,0.08243727598566308,0.0,0.0,0.0,0.0,0.0,0.06078407657618743,0.04318008636017272,0.25,0.02748165235020525,22,-1
Falcon,0.0,0.02394500656273149,0.0,0.0,3.159869749090489e-06,0.0,0.0,0.0142602495543672,0.0,0.14695340501792115,0.0,0.0,0.007042253521126761,0.0,0.0,0.14712234566408072,0.16814833629667258,0.25,0.042081930915924944,16,0
EleutherAI,0.0,0.06682516527126801,0.0,0.0,0.0,0.002890464218763543,0.0,0.03182932263814617,0.0,0.16129032258064516,0.0,0.0,0.0,0.125,0.0,0.07279230091400729,0.06451612903225806,0.25,0.0430635391475049,15,-2
Meta,0.7496452236959981,1.0,0.6226444286696258,1.0,0.03801428996632107,1.0,0.032915627587053506,0.25269607843137254,1.0,0.4551971326164875,1.0,0.5,0.18309859154929578,1.0,0.1,1.0,1.0,0.5,0.6352339651397864,1,0
Google,1.0,0.2568670443318439,0.00012581584914427398,0.0,0.10224117698310756,0.0,6.863069975256718e-06,0.4700757575757576,0.28888888888888886,0.3835125448028674,0.014563106796116505,0.0,0.5704225352112676,0.0,0.01818181818181818,0.4241235724035454,0.47523495046990094,0.5,0.25023578192023516,3,0
Deepseek,0.0,0.3907516907480995,0.0,0.0,0.007746124115089531,0.0,0.0,0.04245766488413547,0.0,0.2078853046594982,0.0,0.0,0.07746478873239436,0.0,0.0,0.6885809561656616,0.3261366522733046,0.25,0.11061239897656575,10,-1
OpenBMB,0.0,0.001515136504697109,0.0,0.0,0.014705214187349281,0.0,2.563803262381673e-05,0.0015151515151515152,0.0,0.1111111111111111,0.0,0.0,0.11267605633802817,0.0,0.01818181818181818,0.12561120997978473,0.11861823723647447,0.25,0.04188664294927991,17,-2
01-AI,0.0,0.006561817463246286,0.0,0.0,5.532468195506555e-06,0.0,0.0,0.01267825311942959,0.0,0.0931899641577061,0.0,0.0,0.014084507042253521,0.0,0.0,0.07669713357637749,0.06908813817627635,0.25,0.029016963666860265,19,0
Ai2,0.0,0.017933198953312437,0.0,0.0,0.017371928564813798,0.0,0.0016155677818067938,0.008812388591800356,0.0,0.32616487455197135,0.0,0.0,0.056338028169014086,0.0,0.06363636363636363,0.07693902586519688,0.09931419862839726,0.25,0.051006976374593144,12,0
OpenAI,0.00018339693478843923,0.0,0.0,0.11975911309822529,1.0,0.0,0.0,0.07922237076648841,0.027777777777777776,0.0,0.0,1.0,0.11971830985915492,0.0,0.0,0.22684313285070062,0.20802641605283212,0.25,0.16841836207444266,6,0
Nvidia,0.06490604328676697,0.03390506760338764,0.16994666318433552,0.014234226013960492,0.00028670695317259604,0.0,0.0005761316995720357,0.013513814616755793,0.3888888888888889,0.1935483870967742,0.32038834951456313,1.0,0.09154929577464789,0.0,0.02727272727272727,0.18475387459612627,0.1775463550927102,0.25,0.16285091842191052,7,3
Microsoft,0.3603086101235204,0.18694157960093827,0.40385746786444376,0.0,0.08921455462752086,0.0,0.0,0.10250668449197861,0.35,0.2222222222222222,0.09223300970873786,0.0,0.5352112676056338,0.0,0.0,0.5348584066209375,0.49580899161798325,0.25,0.20128682191577316,4,0
Apple,0.043945151878738084,0.04534609224102214,0.0,0.0,0.008436388494920715,0.0,0.0,0.002016488413547237,0.23333333333333334,0.035842293906810034,0.0,0.0,0.14084507042253522,0.0,0.0,0.054045648530504344,0.06604013208026416,0.25,0.04888058885009307,14,0
